source,target
cube0_cluster0,cube1_cluster2
cube0_cluster0,cube6_cluster0
cube0_cluster0,cube7_cluster1
cube0_cluster1,cube1_cluster1
cube1_cluster0,cube2_cluster1
cube1_cluster0,cube7_cluster1
cube1_cluster0,cube7_cluster2
cube1_cluster0,cube8_cluster0
cube1_cluster0,cube8_cluster2
cube1_cluster2,cube2_cluster1
cube1_cluster2,cube6_cluster0
cube1_cluster2,cube7_cluster0
cube1_cluster2,cube7_cluster1
cube1_cluster2,cube7_cluster2
cube1_cluster2,cube8_cluster0
cube1_cluster2,cube8_cluster2
cube2_cluster0,cube3_cluster0
cube2_cluster0,cube3_cluster1
cube2_cluster0,cube3_cluster2
cube2_cluster0,cube8_cluster0
cube2_cluster0,cube8_cluster1
cube2_cluster0,cube9_cluster0
cube2_cluster0,cube9_cluster2
cube2_cluster1,cube3_cluster0
cube2_cluster1,cube3_cluster2
cube2_cluster1,cube7_cluster1
cube2_cluster1,cube7_cluster2
cube2_cluster1,cube8_cluster0
cube2_cluster1,cube8_cluster1
cube2_cluster1,cube8_cluster2
cube2_cluster1,cube9_cluster2
cube3_cluster0,cube4_cluster2
cube3_cluster0,cube8_cluster0
cube3_cluster0,cube8_cluster2
cube3_cluster0,cube9_cluster0
cube3_cluster0,cube9_cluster2
cube3_cluster1,cube8_cluster1
cube3_cluster1,cube9_cluster1
cube3_cluster1,cube9_cluster2
cube4_cluster0,cube10_cluster0
cube4_cluster1,cube10_cluster1
cube6_cluster0,cube7_cluster1
cube6_cluster0,cube14_cluster0
cube6_cluster0,cube15_cluster0
cube6_cluster1,cube7_cluster1
cube6_cluster1,cube7_cluster2
cube6_cluster1,cube14_cluster0
cube6_cluster1,cube15_cluster0
cube6_cluster1,cube15_cluster1
cube6_cluster1,cube15_cluster2
cube6_cluster2,cube7_cluster1
cube6_cluster2,cube14_cluster0
cube7_cluster0,cube8_cluster2
cube7_cluster0,cube15_cluster2
cube7_cluster0,cube16_cluster1
cube7_cluster1,cube8_cluster0
cube7_cluster1,cube8_cluster2
cube7_cluster1,cube14_cluster0
cube7_cluster1,cube15_cluster0
cube7_cluster1,cube15_cluster2
cube7_cluster1,cube16_cluster0
cube7_cluster2,cube8_cluster1
cube7_cluster2,cube8_cluster2
cube7_cluster2,cube14_cluster0
cube7_cluster2,cube15_cluster1
cube7_cluster2,cube15_cluster2
cube7_cluster2,cube16_cluster2
cube8_cluster0,cube9_cluster0
cube8_cluster0,cube9_cluster2
cube8_cluster0,cube15_cluster0
cube8_cluster0,cube16_cluster0
cube8_cluster0,cube16_cluster2
cube8_cluster0,cube17_cluster1
cube8_cluster1,cube9_cluster2
cube8_cluster1,cube16_cluster2
cube8_cluster1,cube17_cluster2
cube8_cluster2,cube9_cluster1
cube8_cluster2,cube9_cluster2
